canonical_smiles,standard_value,pIC50
Cc1ccc(-n2nc(C(C)C)c(CC[C@H]3C[C@H](O)CC(=O)O3)c2-c2ccc(F)cc2)cc1,40.0,7.4
Cn1nnnc1C(\C=C\C(O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1,43.0,7.37
O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1-c1ccccc1,80.0,7.1
CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1)S(=O)(=O)N1CCCCC1,2.9,8.54
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=C[C@H](C)[C@H](CCC(O)C[C@@H](O)CC(=O)O)C12,1.6,8.8
CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccc(F)cc1,1.0,9.0
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(-c2ccc(F)cc2)nc(C(=O)NCc2ccccc2)c1C1CC1.[Na+],1.4,8.85
COc1ccc(CNC(=O)c2nc(-c3ccc(F)cc3)n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c2C2CC2)cc1F,3.7,8.43
Cc1cc(Cl)c(OCC(O)C[C@@H](O)CC([O-])=O)c(c1)C(c1ccc(F)c(C)c1)c1ccc(F)c(C)c1,270.0,6.57
CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CCC(=O)C[C@@H](O)CC(=O)O)C21,32.0,7.49
CC(C)c1nc(-c2ccc(F)cc2)c(-c2cccc(Cl)c2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],8.0,8.1
CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@]23C)[C@@H]2CCC([C@H](C)C[C@H]3C[C@@H](O)CC(=O)O3)[C@@]12C,7000.0,5.15
Cc1ccc(-c2c(-c3ccc(F)cc3)nc(C(F)(F)F)n2CC[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],750.0,6.12
C[C@H]1C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C2[C@@H](OC(=O)Oc2ccccc2)C1,83.0,7.08
CC[C@@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12,3690.0,5.43
