canonical_smiles,standard_units,standard_value
Cc1cccc(-c2c(-c3ccc(F)cc3)nc(C(F)(F)F)n2CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c1.[Na+],nM,74.0
Cc1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],nM,100.0
CNc1cccc(-c2nc(C(C)C)n(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)c1.[Na+],nM,3.0
COc1cccc(-c2c(-c3ccc(F)cc3)nc(C(F)(F)F)n2CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c1.[Na+],nM,135.0
COc1ccc(-c2nc(C(F)(F)F)n(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)cc1.[Na+],nM,68.0
Cc1cccc(-c2nc(C(F)(F)F)n(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)c1.[Na+],nM,29.0
COc1cccc(-c2nc(C(F)(F)F)n(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)c1.[Na+],nM,20.0
Cc1cc(C)cc(-c2nc(C(F)(F)F)n(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)c1.[Na+],nM,24.0
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(C(F)(F)F)nc(-c2cccc(Cl)c2)c1-c1ccc(F)cc1.[Na+],nM,17.0
Cc1cc(-c2nc(C(F)(F)F)n(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)cc(C)c1F.[Na+],nM,32.0
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1ccc(C(F)(F)F)cc1.[Na+],nM,1000.0
Cc1cc(C)cc(-c2c(-c3ccc(F)cc3)nc(C(F)(F)F)n2CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c1.[Na+],nM,38.0
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(C(F)(F)F)nc(-c2ccc(C(F)(F)F)cc2)c1-c1ccc(F)cc1.[Na+],nM,200.0
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1ccccc1.[Na+],nM,201.0
Cc1cc(-c2c(-c3ccc(F)cc3)nc(C(F)(F)F)n2CC[C@@H](O)C[C@@H](O)CC(=O)[O-])cc(C)c1F.[Na+],nM,31.0
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1cccnc1.[Na+],nM,1000.0
CCc1cc(-c2c(-c3ccc(F)cc3)nc(C(C)C)n2/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc(CC)c1F.[Na+],nM,100.0
Cn1nnnc1C(/C=C/C(O)CC(O)CC(=O)[O-])=C/c1ccc(F)cc1.[Na+],nM,250000.0
CC(C)c1nc(-c2ccc(F)cc2)c(-c2cc(Cl)cc(Cl)c2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],nM,22.0
Cn1nnnc1C(/C=C/C(O)CC(O)CC(=O)[O-])=C1c2ccc(F)cc2-c2cc(F)ccc21.[Na+],nM,4100.0
COc1ccc(-c2c(-c3ccc(F)cc3)nc(C(F)(F)F)n2CC[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],nM,418.0
CC(C)(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],nM,7.0
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],nM,316.0
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(C(F)(F)F)nc(-c2cccnc2)c1-c1ccc(F)cc1.[Na+],nM,66.0
Cc1cc(F)ccc1-c1c(-c2ccc(F)cc2)nc(C(C)C)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],nM,4.0
CC(C)c1c(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],nM,1.0
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@H](O)C[C@@H](O)CC(=O)O,nM,2000.0
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(C(F)(F)F)nc(-c2cccs2)c1-c1ccc(F)cc1.[Na+],nM,64.0
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CCC(O)C[C@H](O)CC(=O)[O-])[C@]21C.[Na+],nM,5.0
Cc1ccc(-c2c(-c3ccc(F)cc3)nc(C(F)(F)F)n2CC[C@@H](O)C[C@@H](O)CC(=O)[O-])cc1.[Na+],nM,750.0
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@]21C,nM,3.0
Cc1cc(-c2nc(C(C)C)n(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)cc(C)c1Cl.[Na+],nM,2.0
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,nM,1.0
O=C([O-])C[C@H](O)C[C@H](O)/C=C/n1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1ccc(F)cc1.[Na+],nM,13.0
Cc1cc(-c2c(-c3ccc(F)cc3)nc(C(C)C)n2/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])cc(C)c1F.[Na+],nM,30.0
Cn1nnnc1C(CCC(O)CC(O)CC(=O)[O-])Cc1ccc(F)cc1.[Na+],nM,250000.0
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1cccs1.[Na+],nM,215.0
O=C([O-])C[C@H](O)C[C@H](O)CCn1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1ccc(F)cc1.[Na+],nM,38.0
CC(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],nM,2.0
Cc1ccc(-c2nc(C(F)(F)F)n(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c2-c2ccc(F)cc2)cc1.[Na+],nM,43.0
CC(C)c1nc(-c2ccccc2)n(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-].[Na+],nM,2.6
O=C([O-])C[C@H](O)C[C@H](O)/C=C/C(=C(c1ccc(F)cc1)c1ccc(F)cc1)n1cnnn1.[Na+],nM,20.0
Cc1nnnn1C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])=C(c1ccc(F)cc1)c1ccc(F)cc1.[Na+],nM,100.0
CCCCCOc1c(Cl)cc(Cl)cc1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,nM,13000.0
O=C1C[C@H](O)C[C@@H](CCc2c(Cl)cc(Cl)cc2OCc2ccccc2)O1,nM,5200.0
Cc1ccc(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1,nM,510.0
